movie,sentence,score
더 퍼스트 슬램덩크,별점도 높고 후기좋아서 엄청 기대하며 봤어요. 처음 슬램덩크 보는 사람들은 재밌게 봤을꺼같은데.. 저는 좀 실망했어요. 특히나 성우 바뀐부분에서 이건 아니다 싶었어요. 내가 아는 강백호는 이목소리가 아닌데.. 이런느낌이랄까요. 예전 슬램덩크로 다니 돌려내~~ ㅠㅠ ,6
더 퍼스트 슬램덩크,"망설이다 끄적여보는 슬램덩크 극장판 후기.중후반부터는 거의 눈에 땀에 고인 채로 관람. 다음 장면이, 다음 대사가 뭔지 아는데 나 두근두근 왜 이러니? 이노우에의 어마어마한 작화 능력을 따라오지 못했던 TV판은 거들떠 보지도 않아서 주제곡은 &amp;#39;뜨거운 코트를 가르며~&amp;#39; 까지 밖에 몰랐지만, 이제부터 나의 OST는 도내 남바완가도가 코트를 가를 때 터져나오던 Love Rocket으로 확정. 모션캡쳐와 3D로 구현된 경기 장면이 이렇게 작화에 충실하면서 이렇게 역동적일 수 있다니! 내 소중하고 뜨거웠던 추억이 30년만에 되살아나 생생하게 눈 앞에서 살아 움직이는 느낌. 전혀 변하지 않은, 오히려 더 좋은 모습으로. 만화의 원작자가 애니메이션의 감독이어야만 하는 절대적인 이유. 원작을 보지 않았다면 배경 스토리를 유튜브 등으로 보고 가길 추천. 후기를 망설인 이유는 다른 분들의 감동에 방해가 될까봐서였지만 이 영화가 더 잘 됐으면 하는 맘이 더 커서 그만",10
더 퍼스트 슬램덩크,이정도로 3d를 자연스럽게 높은 퀄리티로 만들었으며 모르는 사람이 봐도 이해가 되는 스토리에 이영화는 봐야한다,10
더 퍼스트 슬램덩크,굳,10
더 퍼스트 슬램덩크,아 진짜 꼭 영화관에서 봐야함 안봤으면 평생 후회할뻔 너무 재밌음 하...너무 재밌어서 눈물남,10
더 퍼스트 슬램덩크,청춘으로 회귀하는 그 시절 그 감성!!,10
더 퍼스트 슬램덩크,확실히  바빌론보다 낫다!  애니메이션이 이런 감성자극에 ㅠㅜ  몰입감은 처음인듯! 진작 볼걸 ㅠㅜ,10
더 퍼스트 슬램덩크,그냥 다시 볼 수 있다는 점에서 감동..,10
더 퍼스트 슬램덩크,보는사람마저 숨죽이게 되는 정적... 연출 미쳤음.,9
더 퍼스트 슬램덩크,"영화가 시작돼면서 경기가 시작돼고, 2시간의 길고 긴 경기후 경기가 끝나면서 영화가 끝난다.",1
더 퍼스트 슬램덩크,정말 오랜만에 가슴 울리는 영화였습니다. 오래된 만화책도 다시 꺼내게 만드네요.,10
더 퍼스트 슬램덩크,감사합니다 다케히코 센세..,10
더 퍼스트 슬램덩크,왼손은 거들뿐 빼고 모든게 최고,10
더 퍼스트 슬램덩크,최고의 스포츠애니메이션 극장영화,10
더 퍼스트 슬램덩크,진짜 리뷰 왜케 좋아서 나 낚으신거임?중2병 들어간 애니임.추억으로 보긴했고 감동조장 장면 인정하나. 극장서 보란건 2시간 고통버티기임 ,6
더 퍼스트 슬램덩크,재밌게 잘 봣어요 ㅎㅎ,9
더 퍼스트 슬램덩크,슬램덩크는 남자의 영화였다...,9
더 퍼스트 슬램덩크,오늘 6회차 갑니다 장기상영해주세요 제발,10
더 퍼스트 슬램덩크,진짜 손에 땀을 쥐게 하는 경기였어요,10
더 퍼스트 슬램덩크,같은 시대에 살아서 행복하다,10
더 퍼스트 슬램덩크,태어나지 않은년도로 가고싶습니다.,10
더 퍼스트 슬램덩크,자막 봤으니 더빙 봐야지~,10
더 퍼스트 슬램덩크,안보면 후회합니다...역대급영화...ㄷㄷ,10
더 퍼스트 슬램덩크,second 주세요,10
더 퍼스트 슬램덩크,송태섭 회상하는 장면은 매우 루즈하다,6
더 퍼스트 슬램덩크,지렸다 더빙판으로도 보고싶어요,10
더 퍼스트 슬램덩크,1990년도의 추억이 생각남.난 2003년생임. ,10
더 퍼스트 슬램덩크,중딩시절의 내겐 오빠였던 그들. 세월이 지나 그들의 엄마뻘이 되어서 뜨겁고 빛나는 시절의 선물을 받은 기분이였다. 붉은 손목밴드를 건네 받은 그의 엄마처럼. 초반 데생으로 한명씩 그려지기 시작할때 마음이 웅장해지면서 오열할뻔ㅜㅜ,10
더 퍼스트 슬램덩크,전 캐릭터이름만 알고갔는데도 감동이.. 남편은 옆에서 내내울고ㅠ,10
더 퍼스트 슬램덩크,"슬램덩크를 사랑한 이들에게 주는 최고의 선물,뻔한 결과에도 이렇게 감동을 주는게 또 있을까?마지막 몇분은 숨도 제대로 못쉬고 몰입했던 인생 최고의 만화이자 영화입니다",10
